Mike Ogrysko
java SortComparison "rev50.dat" "TMS6rev50out.dat"
Reading "rev50.dat" and writing to "TMS6rev50out.dat"
Running a Traditional MergeSort
MergeSort: Comparing 26 to 6
MergeSort: Swapping 26 and 6
MergeSort: Comparing 26 to 7
MergeSort: Swapping 26 and 7
MergeSort: Comparing 26 to 8
MergeSort: Swapping 26 and 8
MergeSort: Comparing 26 to 9
MergeSort: Swapping 26 and 9
MergeSort: Comparing 26 to 10
MergeSort: Swapping 26 and 10
MergeSort: Comparing 26 to 11
MergeSort: Swapping 26 and 11
MergeSort: Comparing 26 to 12
MergeSort: Swapping 26 and 12
MergeSort: Comparing 26 to 13
MergeSort: Swapping 26 and 13
MergeSort: Comparing 26 to 14
MergeSort: Swapping 26 and 14
MergeSort: Comparing 26 to 15
MergeSort: Swapping 26 and 15
MergeSort: Comparing 26 to 16
MergeSort: Swapping 26 and 16
MergeSort: Comparing 26 to 17
MergeSort: Swapping 26 and 17
MergeSort: Comparing 26 to 18
MergeSort: Swapping 26 and 18
MergeSort: Comparing 26 to 19
MergeSort: Swapping 26 and 19
MergeSort: Comparing 26 to 20
MergeSort: Swapping 26 and 20
MergeSort: Comparing 26 to 21
MergeSort: Swapping 26 and 21
MergeSort: Comparing 26 to 22
MergeSort: Swapping 26 and 22
MergeSort: Comparing 26 to 23
MergeSort: Swapping 26 and 23
MergeSort: Comparing 26 to 24
MergeSort: Swapping 26 and 24
MergeSort: Comparing 26 to 25
MergeSort: Swapping 26 and 25

Number of swaps: 133

Number of comparisons: 133

Sorted result: 
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
